"SP04_id","SP04D1003","SP04D1002","SP04D1005","SP04D1007","SP04D1008","SP04D1004","SP04D1006","SP04D1014","SP04D1012","SP04D1013","SP04D1001","SP04D1009","SP04D1010"
3,3,"RESHOUP1-BATR3","RESHOU","P1","RESHOUP1","BAT","R3","BATR3","Residential","House","Bathroom","{}",True
4,4,"RESHOUP1-BEDR4","RESHOU","P1","RESHOUP1","BED","R4","BEDR4","Residential","House","Bedroom","{}",True
5,5,"RESHOUP1-LIVR5","RESHOU","P1","RESHOUP1","LIV","R5","LIVR5","Residential","House","Living Space","{}",True
6,6,"RESHOUP1-OUTR6","RESHOU","P1","RESHOUP1","OUT","R6","OUTR6","Residential","House","Outdoor","{General}",True
7,7,"RESHOUP1-DINR7","RESHOU","P1","RESHOUP1","DIN","R7","DINR7","Residential","House","Dining Space","{}",True
8,8,"RESCONP2-KITR8","RESCON","P2","RESCONP2","KIT","R8","KITR8","Residential","Condo-Apartment","Kitchen","{General,Deep}",True
9,9,"RESCONP2-BATR9","RESCON","P2","RESCONP2","BAT","R9","BATR9","Residential","Condo-Apartment","Bathroom","{}",True
10,10,"RESCONP2-BEDR10","RESCON","P2","RESCONP2","BED","R10","BEDR10","Residential","Condo-Apartment","Bedroom","{}",True
11,11,"RESCONP2-DINR11","RESCON","P2","RESCONP2","DIN","R11","DINR11","Residential","Condo-Apartment","Dining Space","{}",True
12,12,"RESCONP2-LIVR12","RESCON","P2","RESCONP2","LIV","R12","LIVR12","Residential","Condo-Apartment","Living Space","{}",True
13,13,"RESCONP2-STOR13","RESCON","P2","RESCONP2","STO","R13","STOR13","Residential","Condo-Apartment","Storage Locker","{}",True
14,14,"COMRESP3-KITR14","COMRES","P3","COMRESP3","KIT","R14","KITR14","Commercial","Restaurant","Kitchen","{General,Deep}",True
15,15,"COMRESP3-DINR15","COMRES","P3","COMRESP3","DIN","R15","DINR15","Commercial","Restaurant","Dining Space","{}",True
16,16,"COMRESP3-BATR16","COMRES","P3","COMRESP3","BAT","R16","BATR16","Commercial","Restaurant","Bathroom","{}",True
17,17,"COMRESP3-LANR17","COMRES","P3","COMRESP3","LAN","R17","LANR17","Commercial","Restaurant","Landscape","{}",True
35,33,"COMPROP7-KITR33","COMPRO","P7","COMPROP7","KIT","R33","KITR33","Commercial","Production Site","Kitchen","{General,Deep}",True
36,34,"COMPROP7-BRER34","COMPRO","P7","COMPROP7","BRE","R34","BRER34","Commercial","Production Site","Breakroom","{}",True
37,35,"AIRHOUP8-DINR35","AIRHOU","P8","AIRHOUP8","DIN","R35","DINR35","AirBnb","House","Dining Space","{}",True
38,36,"AIRHOUP8-KITR36","AIRHOU","P8","AIRHOUP8","KIT","R36","KITR36","AirBnb","House","Kitchen","{General,Deep}",True
39,37,"AIRHOUP8-BATR37","AIRHOU","P8","AIRHOUP8","BAT","R37","BATR37","AirBnb","House","Bathroom","{}",True
40,38,"AIRHOUP8-BEDR38","AIRHOU","P8","AIRHOUP8","BED","R38","BEDR38","AirBnb","House","Bedroom","{}",True
41,39,"AIRHOUP8-LIVR39","AIRHOU","P8","AIRHOUP8","LIV","R39","LIVR39","AirBnb","House","Living Space","{}",True
42,40,"AIRHOUP8-OUTR40","AIRHOU","P8","AIRHOUP8","OUT","R40","OUTR40","AirBnb","House","Outdoor","{General}",True
43,41,"AIRHOUP8-GARR41","AIRHOU","P8","AIRHOUP8","GAR","R41","GARR41","AirBnb","House","Garage","{}",True
44,42,"AIRCONP9-DINR42","AIRCON","P9","AIRCONP9","DIN","R42","DINR42","AirBnb","Condo-Apartment","Dining Space","{}",True
45,43,"AIRCONP9-KITR43","AIRCON","P9","AIRCONP9","KIT","R43","KITR43","AirBnb","Condo-Apartment","Kitchen","{General,Deep}",True
46,44,"AIRCONP9-BATR44","AIRCON","P9","AIRCONP9","BAT","R44","BATR44","AirBnb","Condo-Apartment","Bathroom","{}",True
47,45,"AIRCONP9-BEDR45","AIRCON","P9","AIRCONP9","BED","R45","BEDR45","AirBnb","Condo-Apartment","Bedroom","{}",True
48,46,"AIRCONP9-LIVR46","AIRCON","P9","AIRCONP9","LIV","R46","LIVR46","AirBnb","Condo-Apartment","Living Space","{}",True
49,47,"AIRCONP9-STOR47","AIRCON","P9","AIRCONP9","STO","R47","STOR47","AirBnb","Condo-Apartment","Storage Locker","{}",True
